created_at,entry_id,field1,field2
2023-07-04 04:31:10 UTC,15147962,0.000000,0.000000
2023-07-04 04:31:25 UTC,15147963,2.000000,2.000000
2023-07-04 04:31:40 UTC,15147964,0.000000,0.000000
2023-07-04 04:31:56 UTC,15147965,0.000000,1.000000
2023-07-04 04:32:12 UTC,15147966,0.000000,1.000000
2023-07-04 04:32:28 UTC,15147967,0.000000,3.000000
2023-07-04 04:32:43 UTC,15147968,1.000000,0.000000
2023-07-04 04:32:58 UTC,15147969,3.000000,0.000000
2023-07-04 04:33:14 UTC,15147970,2.000000,0.000000
2023-07-04 04:33:29 UTC,15147971,3.000000,0.000000
2023-07-04 04:33:45 UTC,15147972,0.000000,0.000000
2023-07-04 04:34:00 UTC,15147973,0.000000,0.000000
2023-07-04 04:34:15 UTC,15147974,8.000000,1.000000
2023-07-04 04:34:31 UTC,15147975,4.000000,0.000000
2023-07-04 04:34:46 UTC,15147976,3.000000,0.000000
2023-07-04 04:35:01 UTC,15147977,1.000000,1.000000
2023-07-04 04:35:18 UTC,15147978,0.000000,0.000000
2023-07-04 04:35:33 UTC,15147979,0.000000,1.000000
2023-07-04 04:35:49 UTC,15147980,0.000000,1.000000
2023-07-04 04:36:05 UTC,15147981,0.000000,2.000000
2023-07-04 04:36:20 UTC,15147982,0.000000,0.000000
2023-07-04 04:36:36 UTC,15147983,6.000000,1.000000
